tag,tau_m,delay,lock,cp,cq,cr,CRcp,CRcq,CRcr,Jx,Jy,kT_med,kQ_med,R2p,R2q,R2r,R2p_hyb,R2q_hyb,R2r_hyb,white_p,white_q,white_r,R2p_P0,R2q_P0,R2r_P0,min
JxzUp,0.05,1,0,6.84735724514045,4.63358478042108,0.809582958228331,4.38190836973225,4.16602316193428,4.03717224725569,0.0469246810119124,0.094152929767323,1.05928287198441,0.789992654410558,0.661447128918838,0.675562597673659,0.842164125763676,0.739636256656766,0.75857225091919,0.85532570488803,76.6666666666667,33.3333333333333,16.6666666666667,-3.47599461335492,-0.137410049978103,-4.4043619679198,9.39740938958333
Jz30,0.05,1,0,7.06098039714567,4.68991100104307,0.791597329816254,4.39521618397695,4.14269805633317,4.09501447655814,0.045795744059997,0.0931723745887737,1.05913038754124,0.70706947600408,0.65019916833414,0.67171683951838,0.846200926514414,0.735654550784783,0.757318480145068,0.858333931186674,76.6666666666667,33.3333333333333,13.3333333333333,-3.47599461335492,-0.137410049978103,-4.4043619679198,16.5525754631944
base,0.05,1,0,6.84979700383566,4.67891880137967,0.813958836494069,4.40337559629703,4.15910940644976,4.07092658680648,0.0469116466309969,0.0933740130317417,1.05919667789984,0.691498689448867,0.658573174303849,0.672376410444717,0.844691825607408,0.737009270552482,0.757587701690706,0.857839270319505,76.6666666666667,33.3333333333333,20,-21.1992859577456,-0.862580036978813,-3.05908184358256,4.27341519791667
base_cr,0.05,1,0,6.84979698803603,4.67891876069965,0.813958827327393,4.40337562450333,4.15910934330521,4.07092655925363,0.0469116466985186,0.0933740133765256,1.05919667786878,0.69149868340096,0.658551104610191,0.672379538335628,0.844691624147439,0.737009270689621,0.757587701928638,0.857839271169863,76.6666666666667,33.3333333333333,20,-3.47599461335492,-0.137410049978103,-4.4043619679198,4.74769489305555
base_cr05,0.05,1,0,6.84979700383566,4.67891880137967,0.813958836494069,4.40337559629703,4.15910940644976,4.07092658680648,0.0469116466309969,0.0933740130317417,1.05919667789984,0.691498689448867,0.658573174303849,0.672376410444717,0.844691825607408,0.737009270552482,0.757587701690706,0.857839270319505,76.6666666666667,33.3333333333333,20,-21.1992859577456,-0.862580036978813,-3.05908184358256,6.46080673263889
delay0,0.05,0,0,3.28478075441489,2.06849443359128,0.604839871330401,3.79439881257371,4.16980082342045,4.36249527506233,0.0540599999999778,0.105509999999978,1.05756491382945,0.653501849337554,0.232112897393442,0.369050336323862,0.840793261810105,0.515844299470732,0.575485676965065,0.852159110767535,83.3333333333333,46.6666666666667,40,-3.64721279754672,-0.308311814651281,-4.19315825804439,16.8314859541667
freeJ,0.05,1,0,7.06098028451197,4.68991111126385,0.79159733304027,4.39521622270267,4.14269803148184,4.09501448378739,0.0457957445213214,0.0931723734165231,1.05913038716204,0.707069455547572,0.650198762904099,0.671723216415675,0.846200804135805,0.735654547598603,0.757318479734046,0.858333933730565,76.6666666666667,33.3333333333333,13.3333333333333,-3.47599461335492,-0.137410049978103,-4.4043619679198,12.2031758611111
freeJ_cr,0.05,1,0,7.06098018401505,4.68991113285318,0.791597331738929,4.39521620184456,4.1426980330683,4.09501450543509,0.0457957450560598,0.0931723728763768,1.05913038674079,0.707069030109838,0.650193652252688,0.671720205629365,0.846201450631288,0.735654535632794,0.757318479356551,0.858333947830548,76.6666666666667,33.3333333333333,13.3333333333333,-3.49107745200474,-0.134309240986027,-4.40506465930872,17.85157868125
lock_phys,0.05,1,1,3.76211463977734,2.80649202620034,0.259810804783153,4.14968474893085,4.45818741970479,5.59519878867834,0.0540599999999778,0.105509999999978,1.0570761560734,0.540322282810616,0.66207973726355,0.724931718826515,0.66054332007491,0.590901326529362,0.708706783016688,0.638754943343254,73.3333333333333,46.6666666666667,13.3333333333333,0.211169504022758,0.531508459694249,-7.58382976352436,8.70902134444444
lock_prior,0.05,1,1,1.18744101937796,1.20493960275085,0.0795263572745945,4.01825194793675,5.41077667484555,9.51546921283971,0.0540599999999778,0.105509999999978,1.05107596757651,0.472246132914816,-0.510553009249741,0.353663424916477,-1.60080606138257,-0.83459348119476,0.192472563395253,-1.59826510337182,40,13.3333333333333,6.66666666666667,-3.49107745200474,-0.134309240986027,-4.40506465930872,7.57220484513889
